""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"
"Tery_2577"	252	728	767	425	896	728	547	"    69.11"	"   111.99"	"   140.54"	"   140.02"	"   162.74"	"   130.41"	"   154.19"	" 6.1111"	" 6.8073"	" 7.1349"	" 7.1296"	" 7.3465"	" 7.0271"	" 7.2687"
"Tery_2578"	2912	5842	5534	3139	6131	4948	3729	"   798.62"	"   898.67"	"  1014.01"	"  1034.20"	"  1113.56"	"   886.39"	"  1051.15"	" 9.6414"	" 9.8117"	" 9.9859"	"10.0143"	"10.1210"	" 9.7918"	"10.0378"
"Tery_2579"	204	458	375	306	563	497	335	"    55.95"	"    70.45"	"    68.71"	"   100.82"	"   102.26"	"    89.03"	"    94.43"	" 5.8062"	" 6.1388"	" 6.1027"	" 6.6557"	" 6.6762"	" 6.4764"	" 6.5614"
"Tery_2580"	335	515	499	503	731	459	327	"    91.87"	"    79.22"	"    91.43"	"   165.72"	"   132.77"	"    82.23"	"    92.18"	" 6.5217"	" 6.3080"	" 6.5148"	" 7.3727"	" 7.0529"	" 6.3617"	" 6.5265"
"Tery_2581"	861	1808	1410	1051	1616	2127	978	"   236.13"	"   278.12"	"   258.36"	"   346.27"	"   293.51"	"   381.03"	"   275.68"	" 7.8835"	" 8.1196"	" 8.0133"	" 8.4358"	" 8.1973"	" 8.5738"	" 8.1069"
"Tery_2582"	446	737	550	559	741	774	349	"   122.32"	"   113.37"	"   100.78"	"   184.17"	"   134.59"	"   138.66"	"    98.38"	" 6.9346"	" 6.8250"	" 6.6552"	" 7.5250"	" 7.0725"	" 7.1155"	" 6.6204"
"Tery_2583"	212	337	338	200	361	311	245	"    58.14"	"    51.84"	"    61.93"	"    65.89"	"    65.57"	"    55.71"	"    69.06"	" 5.8617"	" 5.6963"	" 5.9529"	" 6.0423"	" 6.0351"	" 5.8002"	" 6.1100"
"Tery_2584"	61	128	92	48	124	75	60	"    16.73"	"    19.69"	"    16.86"	"    15.81"	"    22.52"	"    13.44"	"    16.91"	" 4.0652"	" 4.3001"	" 4.0762"	" 3.9841"	" 4.4939"	" 3.7491"	" 4.0809"
"Tery_2585"	22	47	59	30	34	22	35	"     6.03"	"     7.23"	"    10.81"	"     9.88"	"     6.18"	"     3.94"	"     9.87"	" 2.5954"	" 2.8560"	" 3.4357"	" 3.3066"	" 2.6289"	" 1.9823"	" 3.3039"
"Tery_2586"	7	13	5	1	4	6	9	"     1.92"	"     2.00"	"     0.92"	"     0.33"	"     0.73"	"     1.07"	"     2.54"	" 0.9484"	" 1.0070"	"-0.1107"	"-1.5587"	"-0.4412"	" 0.1175"	" 1.3488"
"Tery_2587"	39	93	82	48	115	57	41	"    10.70"	"    14.31"	"    15.03"	"    15.81"	"    20.89"	"    10.21"	"    11.56"	" 3.4203"	" 3.8396"	" 3.9103"	" 3.9841"	" 4.3852"	" 3.3535"	" 3.5320"
"Tery_2588"	542	645	448	632	652	930	369	"   148.64"	"    99.22"	"    82.09"	"   208.22"	"   118.42"	"   166.60"	"   104.02"	" 7.2158"	" 6.6327"	" 6.3593"	" 7.7021"	" 6.8879"	" 7.3803"	" 6.7008"
"Tery_2589"	598	870	854	615	932	1090	642	"   164.00"	"   133.83"	"   156.48"	"   202.62"	"   169.28"	"   195.26"	"   180.97"	" 7.3577"	" 7.0644"	" 7.2899"	" 7.6627"	" 7.4033"	" 7.6094"	" 7.4997"
"Tery_2590"	10	14	13	11	27	19	17	"     2.74"	"     2.15"	"     2.38"	"     3.62"	"     4.90"	"     3.40"	"     4.79"	" 1.4607"	" 1.1134"	" 1.2582"	" 1.8616"	" 2.2969"	" 1.7713"	" 2.2637"
"Tery_2591"	390	501	374	347	382	525	265	"   106.96"	"    77.07"	"    68.53"	"   114.33"	"    69.38"	"    94.05"	"    74.70"	" 6.7410"	" 6.2683"	" 6.0988"	" 6.8371"	" 6.1167"	" 6.5555"	" 6.2232"
"Tery_2592"	130	110	122	140	159	116	80	"    35.65"	"    16.92"	"    22.35"	"    46.13"	"    28.88"	"    20.78"	"    22.55"	" 5.1563"	" 4.0816"	" 4.4831"	" 5.5278"	" 4.8524"	" 4.3778"	" 4.4957"
"Tery_2593"	350	509	538	465	528	881	441	"    95.99"	"    78.30"	"    98.58"	"   153.20"	"    95.90"	"   157.82"	"   124.31"	" 6.5849"	" 6.2911"	" 6.6234"	" 7.2594"	" 6.5836"	" 7.3023"	" 6.9579"
"Tery_2595"	25	26	37	33	33	26	37	"     6.86"	"     4.00"	"     6.78"	"    10.87"	"     5.99"	"     4.66"	"    10.43"	" 2.7795"	" 2.0034"	" 2.7633"	" 3.4439"	" 2.5859"	" 2.2227"	" 3.3840"
"Tery_2596"	133	253	192	117	169	327	187	"    36.48"	"    38.92"	"    35.18"	"    38.55"	"    30.70"	"    58.58"	"    52.71"	" 5.1892"	" 5.2828"	" 5.1371"	" 5.2689"	" 4.9404"	" 5.8726"	" 5.7203"
"Tery_2597"	106	194	166	67	154	89	98	"    29.07"	"    29.84"	"    30.42"	"    22.07"	"    27.97"	"    15.94"	"    27.62"	" 4.8620"	" 4.8998"	" 4.9273"	" 4.4650"	" 4.8064"	" 3.9958"	" 4.7884"
"Tery_2599"	297	532	497	312	387	739	321	"    81.45"	"    81.84"	"    91.07"	"   102.79"	"    70.29"	"   132.39"	"    90.49"	" 6.3481"	" 6.3549"	" 6.5090"	" 6.6838"	" 6.1355"	" 7.0487"	" 6.4998"
"Tery_2601"	96	142	158	69	141	104	88	"    26.33"	"    21.84"	"    28.95"	"    22.73"	"    25.61"	"    18.63"	"    24.81"	" 4.7191"	" 4.4498"	" 4.8560"	" 4.5074"	" 4.6792"	" 4.2204"	" 4.6332"
"Tery_2602"	108	286	251	71	245	162	167	"    29.62"	"    44.00"	"    45.99"	"    23.39"	"    44.50"	"    29.02"	"    47.07"	" 4.8889"	" 5.4596"	" 5.5236"	" 4.5486"	" 5.4760"	" 4.8595"	" 5.5572"
"Tery_2603"	171	326	324	161	269	298	158	"    46.90"	"    50.15"	"    59.37"	"    53.04"	"    48.86"	"    53.38"	"    44.54"	" 5.5517"	" 5.6484"	" 5.8918"	" 5.7294"	" 5.6108"	" 5.7386"	" 5.4773"
"Tery_2604"	355	580	539	364	705	679	441	"    97.36"	"    89.22"	"    98.76"	"   119.93"	"   128.05"	"   121.64"	"   124.31"	" 6.6054"	" 6.4795"	" 6.6260"	" 6.9061"	" 7.0007"	" 6.9266"	" 6.9579"
"Tery_2605"	53	107	117	41	97	88	69	"    14.54"	"    16.46"	"    21.44"	"    13.51"	"    17.62"	"    15.76"	"    19.45"	" 3.8625"	" 4.0417"	" 4.4228"	" 3.7568"	" 4.1398"	" 3.9795"	" 4.2824"
"Tery_2606"	4189	8756	8265	2140	3374	5158	4366	"  1148.83"	"  1346.93"	"  1514.41"	"   705.06"	"   612.81"	"   924.01"	"  1230.71"	"10.1660"	"10.3955"	"10.5646"	" 9.4616"	" 9.2593"	" 9.8518"	"10.2653"
"Tery_2607"	423	898	742	345	676	754	444	"   116.01"	"   138.14"	"   135.96"	"   113.67"	"   122.78"	"   135.07"	"   125.16"	" 6.8582"	" 7.1101"	" 7.0871"	" 6.8288"	" 6.9401"	" 7.0777"	" 6.9677"
"Tery_2608"	357	615	834	293	806	427	746	"    97.91"	"    94.60"	"   152.82"	"    96.53"	"   146.39"	"    76.49"	"   210.29"	" 6.6135"	" 6.5640"	" 7.2557"	" 6.5931"	" 7.1938"	" 6.2574"	" 7.7163"
"Tery_2609"	172	285	215	130	248	238	139	"    47.17"	"    43.84"	"    39.39"	"    42.83"	"    45.04"	"    42.64"	"    39.18"	" 5.5601"	" 5.4545"	" 5.3003"	" 5.4209"	" 5.4936"	" 5.4143"	" 5.2925"
"Tery_2610"	105	147	124	85	163	164	77	"    28.80"	"    22.61"	"    22.72"	"    28.00"	"    29.61"	"    29.38"	"    21.71"	" 4.8483"	" 4.4997"	" 4.5066"	" 4.8081"	" 4.8883"	" 4.8772"	" 4.4406"
"Tery_2611"	224	374	293	211	356	281	181	"    61.43"	"    57.53"	"    53.69"	"    69.52"	"    64.66"	"    50.34"	"    51.02"	" 5.9412"	" 5.8465"	" 5.7468"	" 6.1195"	" 6.0150"	" 5.6539"	" 5.6733"
"Tery_2612"	102	164	138	66	147	96	98	"    27.97"	"    25.23"	"    25.29"	"    21.74"	"    26.70"	"    17.20"	"    27.62"	" 4.8065"	" 4.6575"	" 4.6608"	" 4.4433"	" 4.7393"	" 4.1050"	" 4.7884"
"Tery_2613"	2779	6149	4089	2097	3890	4251	2560	"   762.14"	"   945.89"	"   749.24"	"   690.89"	"   706.53"	"   761.53"	"   721.63"	" 9.5739"	" 9.8856"	" 9.5493"	" 9.4323"	" 9.4646"	" 9.5728"	" 9.4951"
"Tery_2614"	273	444	311	190	396	302	219	"    74.87"	"    68.30"	"    56.99"	"    62.60"	"    71.92"	"    54.10"	"    61.73"	" 6.2265"	" 6.0940"	" 5.8328"	" 5.9683"	" 6.1686"	" 5.7578"	" 5.9482"
"Tery_2615"	156	208	181	89	199	176	86	"    42.78"	"    32.00"	"    33.17"	"    29.32"	"    36.14"	"    31.53"	"    24.24"	" 5.4193"	" 5.0003"	" 5.0520"	" 4.8744"	" 5.1761"	" 4.9791"	" 4.6000"
"Tery_2616"	155	150	147	126	232	118	99	"    42.51"	"    23.07"	"    26.94"	"    41.51"	"    42.14"	"    21.14"	"    27.91"	" 5.4100"	" 4.5288"	" 4.7520"	" 5.3758"	" 5.3974"	" 4.4025"	" 4.8031"
"Tery_2617"	1108	1516	1289	1318	1850	1727	1025	"   303.87"	"   233.20"	"   236.19"	"   434.24"	"   336.01"	"   309.38"	"   288.93"	" 8.2474"	" 7.8655"	" 7.8838"	" 8.7624"	" 8.3924"	" 8.2733"	" 8.1746"
"Tery_2618"	1234	1769	1473	1276	1806	1366	1588	"   338.42"	"   272.12"	"   269.90"	"   420.40"	"   328.02"	"   244.71"	"   447.63"	" 8.4027"	" 8.0882"	" 8.0763"	" 8.7157"	" 8.3577"	" 7.9350"	" 8.8062"
"Tery_2620"	2	5	3	1	4	6	6	"     0.55"	"     0.77"	"     0.55"	"     0.33"	"     0.73"	"     1.07"	"     1.69"	"-0.8404"	"-0.3600"	"-0.8373"	"-1.5587"	"-0.4412"	" 0.1175"	" 0.7666"
"Tery_2621"	30	75	54	71	136	55	38	"     8.23"	"    11.54"	"     9.89"	"    23.39"	"    24.70"	"     9.85"	"    10.71"	" 3.0422"	" 3.5295"	" 3.3081"	" 4.5486"	" 4.6271"	" 3.3020"	" 3.4225"
"Tery_2622"	150	283	189	300	497	277	184	"    41.14"	"    43.53"	"    34.63"	"    98.84"	"    90.27"	"    49.62"	"    51.87"	" 5.3627"	" 5.4444"	" 5.1144"	" 6.6272"	" 6.4963"	" 5.6332"	" 5.6970"
"Tery_2623"	13203	37202	29032	18073	32954	51227	21370	"  3620.92"	"  5722.75"	"  5319.59"	"  5954.47"	"  5985.37"	"  9176.85"	"  6023.90"	"11.8221"	"12.4825"	"12.3771"	"12.5398"	"12.5472"	"13.1638"	"12.5565"
"Tery_2624"	480	968	756	292	557	715	440	"   131.64"	"   148.91"	"   138.52"	"    96.20"	"   101.17"	"   128.09"	"   124.03"	" 7.0406"	" 7.2184"	" 7.1141"	" 6.5882"	" 6.6607"	" 7.0011"	" 6.9547"
"Tery_2625"	744	1963	1652	580	959	1752	1027	"   204.04"	"   301.97"	"   302.70"	"   191.09"	"   174.18"	"   313.85"	"   289.50"	" 7.6728"	" 8.2383"	" 8.2418"	" 7.5782"	" 7.4445"	" 8.2940"	" 8.1775"
"Tery_2626"	201	273	232	246	397	298	245	"    55.12"	"    42.00"	"    42.51"	"    81.05"	"    72.11"	"    53.38"	"    69.06"	" 5.7849"	" 5.3925"	" 5.4101"	" 6.3409"	" 6.1723"	" 5.7386"	" 6.1100"
"Tery_2627"	214	288	347	217	356	194	248	"    58.69"	"    44.30"	"    63.58"	"    71.49"	"    64.66"	"    34.75"	"    69.91"	" 5.8753"	" 5.4696"	" 5.9908"	" 6.1600"	" 6.0150"	" 5.1195"	" 6.1276"
"Tery_2628"	5	8	10	5	12	6	0	"     1.37"	"     1.23"	"     1.83"	"     1.65"	"     2.18"	"     1.07"	"     0.00"	" 0.4660"	" 0.3111"	" 0.8815"	" 0.7289"	" 1.1306"	" 0.1175"	"-6.6439"
"Tery_2629"	31	34	38	36	72	34	29	"     8.50"	"     5.23"	"     6.96"	"    11.86"	"    13.08"	"     6.09"	"     8.17"	" 3.0895"	" 2.3896"	" 2.8017"	" 3.5693"	" 3.7101"	" 2.6090"	" 3.0329"
"Tery_2630"	161	150	114	169	200	190	101	"    44.15"	"    23.07"	"    20.89"	"    55.68"	"    36.33"	"    34.04"	"    28.47"	" 5.4648"	" 4.5288"	" 4.3853"	" 5.7993"	" 5.1833"	" 5.0894"	" 4.8319"
"Tery_2631"	39	42	34	73	73	74	40	"    10.70"	"     6.46"	"     6.23"	"    24.05"	"    13.26"	"    13.26"	"    11.28"	" 3.4203"	" 2.6939"	" 2.6415"	" 4.5886"	" 3.7300"	" 3.7297"	" 3.4964"
"Tery_2632"	304	420	274	347	348	670	204	"    83.37"	"    64.61"	"    50.21"	"   114.33"	"    63.21"	"   120.02"	"    57.50"	" 6.3817"	" 6.0139"	" 5.6501"	" 6.8371"	" 5.9822"	" 6.9073"	" 5.8459"
"Tery_2633"	28	64	54	24	53	51	30	"     7.68"	"     9.85"	"     9.89"	"     7.91"	"     9.63"	"     9.14"	"     8.46"	" 2.9428"	" 3.3009"	" 3.3081"	" 2.9850"	" 3.2685"	" 3.1932"	" 3.0818"
"Tery_2634"	66	128	101	48	109	139	76	"    18.10"	"    19.69"	"    18.51"	"    15.81"	"    19.80"	"    24.90"	"    21.42"	" 4.1788"	" 4.3001"	" 4.2107"	" 3.9841"	" 4.3080"	" 4.6387"	" 4.4218"
"Tery_2635"	55	105	89	46	102	92	62	"    15.08"	"    16.15"	"    16.31"	"    15.16"	"    18.53"	"    16.48"	"    17.48"	" 3.9159"	" 4.0145"	" 4.0284"	" 3.9227"	" 4.2123"	" 4.0436"	" 4.1282"
"Tery_2636"	63	99	68	37	83	103	48	"    17.28"	"    15.23"	"    12.46"	"    12.19"	"    15.08"	"    18.45"	"    13.53"	" 4.1117"	" 3.9297"	" 3.6404"	" 3.6088"	" 3.9151"	" 4.2064"	" 3.7592"
"Tery_2637"	101	190	162	86	158	213	96	"    27.70"	"    29.23"	"    29.68"	"    28.33"	"    28.70"	"    38.16"	"    27.06"	" 4.7923"	" 4.8697"	" 4.8921"	" 4.8250"	" 4.8433"	" 5.2543"	" 4.7587"
"Tery_2638"	80	142	115	51	93	113	88	"    21.94"	"    21.84"	"    21.07"	"    16.80"	"    16.89"	"    20.24"	"    24.81"	" 4.4561"	" 4.4498"	" 4.3979"	" 4.0715"	" 4.0791"	" 4.3401"	" 4.6332"
"Tery_2639"	125	172	164	99	160	194	97	"    34.28"	"    26.46"	"    30.05"	"    32.62"	"    29.06"	"    34.75"	"    27.34"	" 5.0998"	" 4.7262"	" 4.9098"	" 5.0280"	" 4.8615"	" 5.1195"	" 4.7736"
"Tery_2640"	100	201	172	91	194	143	100	"    27.43"	"    30.92"	"    31.52"	"    29.98"	"    35.24"	"    25.62"	"    28.19"	" 4.7779"	" 4.9509"	" 4.9785"	" 4.9065"	" 5.1394"	" 4.6796"	" 4.8175"
"Tery_2641"	75	158	118	59	123	181	83	"    20.57"	"    24.30"	"    21.62"	"    19.44"	"    22.34"	"    32.42"	"    23.40"	" 4.3631"	" 4.6038"	" 4.4351"	" 4.2816"	" 4.4822"	" 5.0195"	" 4.5488"
"Tery_2642"	1148	2230	1713	835	1861	1454	970	"   314.84"	"   343.04"	"   313.88"	"   275.11"	"   338.01"	"   260.47"	"   273.43"	" 8.2985"	" 8.4223"	" 8.2941"	" 8.1039"	" 8.4010"	" 8.0250"	" 8.0951"
"Tery_2643"	132	201	172	91	172	136	92	"    36.20"	"    30.92"	"    31.52"	"    29.98"	"    31.24"	"    24.36"	"    25.93"	" 5.1784"	" 4.9509"	" 4.9785"	" 4.9065"	" 4.9658"	" 4.6072"	" 4.6973"
"Tery_2644"	30	71	50	20	53	42	35	"     8.23"	"    10.92"	"     9.16"	"     6.59"	"     9.63"	"     7.52"	"     9.87"	" 3.0422"	" 3.4505"	" 3.1972"	" 2.7223"	" 3.2685"	" 2.9134"	" 3.3039"
"Tery_2645"	5	21	11	4	14	18	9	"     1.37"	"     3.23"	"     2.02"	"     1.32"	"     2.54"	"     3.22"	"     2.54"	" 0.4660"	" 1.6962"	" 1.0183"	" 0.4091"	" 1.3521"	" 1.6936"	" 1.3488"
"Tery_2646"	27	53	47	17	33	42	24	"     7.40"	"     8.15"	"     8.61"	"     5.60"	"     5.99"	"     7.52"	"     6.77"	" 2.8904"	" 3.0291"	" 3.1080"	" 2.4882"	" 2.5859"	" 2.9134"	" 2.7603"
"Tery_2648"	34	53	36	28	55	47	26	"     9.32"	"     8.15"	"     6.60"	"     9.23"	"     9.99"	"     8.42"	"     7.33"	" 3.2226"	" 3.0291"	" 2.7239"	" 3.2071"	" 3.3219"	" 3.0755"	" 2.8756"
"Tery_2649"	69	150	121	57	106	119	95	"    18.92"	"    23.07"	"    22.17"	"    18.78"	"    19.25"	"    21.32"	"    26.78"	" 4.2429"	" 4.5288"	" 4.4713"	" 4.2319"	" 4.2677"	" 4.4147"	" 4.7436"
"Tery_2650"	20	28	32	19	27	40	25	"     5.49"	"     4.31"	"     5.86"	"     6.26"	"     4.90"	"     7.17"	"     7.05"	" 2.4581"	" 2.1101"	" 2.5542"	" 2.6484"	" 2.2969"	" 2.8431"	" 2.8191"
"Tery_2651"	88	101	135	52	115	101	125	"    24.13"	"    15.54"	"    24.74"	"    17.13"	"    20.89"	"    18.09"	"    35.24"	" 4.5936"	" 3.9585"	" 4.6291"	" 4.0995"	" 4.3852"	" 4.1782"	" 5.1394"
"Tery_2652"	156	286	207	185	291	247	134	"    42.78"	"    44.00"	"    37.93"	"    60.95"	"    52.85"	"    44.25"	"    37.77"	" 5.4193"	" 5.4596"	" 5.2456"	" 5.9298"	" 5.7242"	" 5.4679"	" 5.2397"
"Tery_2653"	675	911	718	634	778	1074	493	"   185.12"	"   140.14"	"   131.56"	"   208.88"	"   141.31"	"   192.40"	"   138.97"	" 7.5324"	" 7.1308"	" 7.0397"	" 7.7066"	" 7.1428"	" 7.5880"	" 7.1187"
"Tery_2654"	145	349	307	129	303	285	190	"    39.77"	"    53.69"	"    56.25"	"    42.50"	"    55.03"	"    51.06"	"    53.56"	" 5.3138"	" 5.7468"	" 5.8141"	" 5.4098"	" 5.7825"	" 5.6743"	" 5.7433"
"Tery_2655"	291	623	512	280	485	626	304	"    79.81"	"    95.84"	"    93.81"	"    92.25"	"    88.09"	"   112.14"	"    85.69"	" 6.3186"	" 6.5826"	" 6.5519"	" 6.5276"	" 6.4611"	" 6.8093"	" 6.4213"
"Tery_2656"	511	1055	920	479	1062	710	653	"   140.14"	"   162.29"	"   168.57"	"   157.81"	"   192.89"	"   127.19"	"   184.07"	" 7.1308"	" 7.3425"	" 7.3973"	" 7.3022"	" 7.5917"	" 6.9910"	" 7.5242"
"Tery_2657"	747	1611	1316	584	1020	1808	806	"   204.86"	"   247.82"	"   241.13"	"   192.41"	"   185.26"	"   323.89"	"   227.20"	" 7.6786"	" 7.9532"	" 7.9137"	" 7.5881"	" 7.5335"	" 8.3394"	" 7.8279"
"Tery_2659"	19	39	26	15	27	27	19	"     5.21"	"     6.00"	"     4.76"	"     4.94"	"     4.90"	"     4.84"	"     5.36"	" 2.3843"	" 2.5872"	" 2.2552"	" 2.3080"	" 2.2969"	" 2.2770"	" 2.4238"
"Tery_2660"	2147	3909	3215	2017	2687	4720	1990	"   588.81"	"   601.32"	"   589.09"	"   664.54"	"   488.03"	"   845.55"	"   560.95"	" 9.2017"	" 9.2320"	" 9.2024"	" 9.3762"	" 8.9309"	" 9.7238"	" 9.1318"
"Tery_2661"	196	350	271	164	348	303	205	"    53.75"	"    53.84"	"    49.66"	"    54.03"	"    63.21"	"    54.28"	"    57.79"	" 5.7485"	" 5.7509"	" 5.6342"	" 5.7560"	" 5.9822"	" 5.7626"	" 5.8529"
"Tery_2662"	247	466	303	161	343	414	220	"    67.74"	"    71.68"	"    55.52"	"    53.04"	"    62.30"	"    74.16"	"    62.01"	" 6.0821"	" 6.1638"	" 5.7952"	" 5.7294"	" 5.9614"	" 6.2128"	" 5.9548"
"Tery_2663"	799	1405	1339	744	1059	1458	1084	"   219.13"	"   216.13"	"   245.35"	"   245.12"	"   192.34"	"   261.19"	"   305.56"	" 7.7757"	" 7.7558"	" 7.9387"	" 7.9374"	" 7.5876"	" 8.0290"	" 8.2554"
"Tery_2664"	819	1524	1402	656	1604	1009	891	"   224.61"	"   234.44"	"   256.89"	"   216.13"	"   291.33"	"   180.75"	"   251.16"	" 7.8113"	" 7.8731"	" 8.0051"	" 7.7558"	" 8.1866"	" 7.4980"	" 7.9725"
"Tery_2665"	365	534	430	251	481	369	278	"   100.10"	"    82.14"	"    78.79"	"    82.70"	"    87.36"	"    66.10"	"    78.36"	" 6.6455"	" 6.3603"	" 6.3001"	" 6.3699"	" 6.4491"	" 6.0469"	" 6.2923"
"Tery_2666"	247	368	359	202	411	317	229	"    67.74"	"    56.61"	"    65.78"	"    66.55"	"    74.65"	"    56.79"	"    64.55"	" 6.0821"	" 5.8232"	" 6.0398"	" 6.0566"	" 6.2222"	" 5.8278"	" 6.0126"
"Tery_2667"	114	132	146	68	120	89	86	"    31.26"	"    20.31"	"    26.75"	"    22.40"	"    21.80"	"    15.94"	"    24.24"	" 4.9669"	" 4.3445"	" 4.7421"	" 4.4863"	" 4.4466"	" 3.9958"	" 4.6000"
"Tery_2668"	79	172	154	37	77	158	101	"    21.67"	"    26.46"	"    28.22"	"    12.19"	"    13.99"	"    28.30"	"    28.47"	" 4.4380"	" 4.7262"	" 4.8190"	" 3.6088"	" 3.8069"	" 4.8235"	" 4.8319"
"Tery_2669"	219	275	186	238	159	461	117	"    60.06"	"    42.30"	"    34.08"	"    78.41"	"    28.88"	"    82.58"	"    32.98"	" 5.9086"	" 5.4030"	" 5.0913"	" 6.2932"	" 4.8524"	" 6.3680"	" 5.0440"
"Tery_2671"	95	123	121	78	151	129	73	"    26.05"	"    18.92"	"    22.17"	"    25.70"	"    27.43"	"    23.11"	"    20.58"	" 4.7040"	" 4.2427"	" 4.4713"	" 4.6842"	" 4.7780"	" 4.5310"	" 4.3637"
"Tery_2672"	7	9	6	1	9	6	10	"     1.92"	"     1.38"	"     1.10"	"     0.33"	"     1.63"	"     1.07"	"     2.82"	" 0.9484"	" 0.4797"	" 0.1498"	"-1.5587"	" 0.7178"	" 0.1175"	" 1.5002"
"Tery_2674"	70	129	56	47	61	138	42	"    19.20"	"    19.84"	"    10.26"	"    15.48"	"    11.08"	"    24.72"	"    11.84"	" 4.2636"	" 4.3114"	" 3.3605"	" 3.9537"	" 3.4711"	" 4.6283"	" 3.5667"
"Tery_2675"	91	209	167	50	109	194	109	"    24.96"	"    32.15"	"    30.60"	"    16.47"	"    19.80"	"    34.75"	"    30.73"	" 4.6419"	" 5.0072"	" 4.9359"	" 4.0429"	" 4.3080"	" 5.1195"	" 4.9418"
"Tery_2676"	7	11	8	2	13	12	4	"     1.92"	"     1.69"	"     1.47"	"     0.66"	"     2.36"	"     2.15"	"     1.13"	" 0.9484"	" 0.7673"	" 0.5616"	"-0.5801"	" 1.2456"	" 1.1108"	" 0.1859"
"Tery_2677"	14	25	18	21	19	29	13	"     3.84"	"     3.85"	"     3.30"	"     6.92"	"     3.45"	"     5.20"	"     3.66"	" 1.9447"	" 1.9470"	" 1.7260"	" 2.7926"	" 1.7912"	" 2.3799"	" 1.8776"
"Tery_2678"	141	142	95	112	84	164	71	"    38.67"	"    21.84"	"    17.41"	"    36.90"	"    15.26"	"    29.38"	"    20.01"	" 5.2735"	" 4.4498"	" 4.1224"	" 5.2060"	" 3.9323"	" 4.8772"	" 4.3236"
"Tery_2680"	5	9	9	4	6	6	8	"     1.37"	"     1.38"	"     1.65"	"     1.32"	"     1.09"	"     1.07"	"     2.26"	" 0.4660"	" 0.4797"	" 0.7304"	" 0.4091"	" 0.1372"	" 0.1175"	" 1.1796"
"Tery_2682"	35	56	51	26	62	19	34	"     9.60"	"     8.61"	"     9.34"	"     8.57"	"    11.26"	"     3.40"	"     9.58"	" 3.2643"	" 3.1084"	" 3.2257"	" 3.1003"	" 3.4945"	" 1.7713"	" 3.2621"
"Tery_2683"	174	243	227	146	288	156	145	"    47.72"	"    37.38"	"    41.59"	"    48.10"	"    52.31"	"    27.95"	"    40.87"	" 5.5768"	" 5.2246"	" 5.3786"	" 5.5883"	" 5.7093"	" 4.8051"	" 5.3534"
"Tery_2684"	802	1270	1117	630	1050	1267	735	"   219.95"	"   195.36"	"   204.67"	"   207.56"	"   190.71"	"   226.97"	"   207.19"	" 7.7811"	" 7.6101"	" 7.6772"	" 7.6975"	" 7.5753"	" 7.8264"	" 7.6949"
"Tery_2685"	196	324	370	145	285	191	175	"    53.75"	"    49.84"	"    67.80"	"    47.77"	"    51.76"	"    34.22"	"    49.33"	" 5.7485"	" 5.6395"	" 6.0833"	" 5.5784"	" 5.6942"	" 5.0970"	" 5.6247"
"Tery_2686"	3200	11326	7169	1452	3967	5434	3748	"   877.60"	"  1742.27"	"  1313.59"	"   478.39"	"   720.52"	"   973.45"	"  1056.51"	" 9.7774"	"10.7668"	"10.3593"	" 8.9021"	" 9.4929"	" 9.9270"	"10.0451"
"Tery_2687"	328	518	509	221	386	429	362	"    89.95"	"    79.68"	"    93.27"	"    72.81"	"    70.11"	"    76.85"	"   102.04"	" 6.4913"	" 6.3164"	" 6.5434"	" 6.1863"	" 6.1317"	" 6.2642"	" 6.6732"
"Tery_2688"	290	346	315	305	384	349	215	"    79.53"	"    53.22"	"    57.72"	"   100.49"	"    69.75"	"    62.52"	"    60.61"	" 6.3137"	" 5.7343"	" 5.8512"	" 6.6510"	" 6.1242"	" 5.9665"	" 5.9216"
"Tery_2689"	59	73	73	43	104	62	65	"    16.18"	"    11.23"	"    13.38"	"    14.17"	"    18.89"	"    11.11"	"    18.32"	" 4.0171"	" 3.4905"	" 3.7426"	" 3.8255"	" 4.2403"	" 3.4747"	" 4.1963"
"Tery_2690"	45	116	92	27	39	96	55	"    12.34"	"    17.84"	"    16.86"	"     8.90"	"     7.08"	"    17.20"	"    15.50"	" 3.6266"	" 4.1582"	" 4.0762"	" 3.1547"	" 2.8265"	" 4.1050"	" 3.9555"
"Tery_2691"	83	117	144	61	121	86	83	"    22.76"	"    18.00"	"    26.39"	"    20.10"	"    21.98"	"    15.41"	"    23.40"	" 4.5092"	" 4.1706"	" 4.7222"	" 4.3297"	" 4.4586"	" 3.9464"	" 4.5488"
