""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"
"Tery_1430"	85	106	57	71	112	120	58	"    23.31"	"    16.31"	"    10.44"	"    23.39"	"    20.34"	"    21.50"	"    16.35"	" 4.5436"	" 4.0282"	" 3.3860"	" 4.5486"	" 4.3471"	" 4.4267"	" 4.0320"
"Tery_1431"	14	52	46	32	37	40	33	"     3.84"	"     8.00"	"     8.43"	"    10.54"	"     6.72"	"     7.17"	"     9.30"	" 1.9447"	" 3.0016"	" 3.0770"	" 3.3996"	" 2.7507"	" 2.8431"	" 3.2191"
"Tery_1432"	6	7	14	7	14	15	7	"     1.65"	"     1.08"	"     2.57"	"     2.31"	"     2.54"	"     2.69"	"     1.97"	" 0.7273"	" 0.1201"	" 1.3647"	" 1.2118"	" 1.3521"	" 1.4314"	" 0.9878"
"Tery_1433"	58	170	114	68	125	170	82	"    15.91"	"    26.15"	"    20.89"	"    22.40"	"    22.70"	"    30.45"	"    23.11"	" 3.9925"	" 4.7093"	" 4.3853"	" 4.4863"	" 4.5055"	" 4.9290"	" 4.5314"
"Tery_1434"	1771	3008	2141	1250	1572	3471	1646	"   485.70"	"   462.72"	"   392.30"	"   411.83"	"   285.52"	"   621.80"	"   463.98"	" 8.9239"	" 8.8540"	" 8.6158"	" 8.6860"	" 8.1575"	" 9.2803"	" 8.8580"
"Tery_1435"	658	1195	980	481	1078	785	548	"   180.46"	"   183.83"	"   179.57"	"   158.47"	"   195.80"	"   140.63"	"   154.47"	" 7.4956"	" 7.5223"	" 7.4885"	" 7.3082"	" 7.6133"	" 7.1358"	" 7.2713"
"Tery_R0009"	2357	628	3162	1564	2160	1094	30279	"   646.41"	"    96.60"	"   579.38"	"   515.29"	"   392.32"	"   195.98"	"  8535.21"	" 9.3363"	" 6.5942"	" 9.1784"	" 9.0093"	" 8.6159"	" 7.6146"	"13.0592"
"Tery_1437"	2166	4011	3489	1842	3651	3695	1979	"   594.03"	"   617.01"	"   639.30"	"   606.88"	"   663.12"	"   661.93"	"   557.85"	" 9.2144"	" 9.2692"	" 9.3204"	" 9.2453"	" 9.3732"	" 9.3705"	" 9.1238"
"Tery_1438"	55	63	96	65	89	97	48	"    15.08"	"     9.69"	"    17.59"	"    21.42"	"    16.16"	"    17.38"	"    13.53"	" 3.9159"	" 3.2782"	" 4.1375"	" 4.4212"	" 4.0157"	" 4.1199"	" 3.7592"
"Tery_1440"	45	79	73	38	69	51	38	"    12.34"	"    12.15"	"    13.38"	"    12.52"	"    12.53"	"     9.14"	"    10.71"	" 3.6266"	" 3.6044"	" 3.7426"	" 3.6473"	" 3.6487"	" 3.1932"	" 3.4225"
"Tery_1441"	14	31	26	23	18	41	7	"     3.84"	"     4.77"	"     4.76"	"     7.58"	"     3.27"	"     7.34"	"     1.97"	" 1.9447"	" 2.2566"	" 2.2552"	" 2.9237"	" 1.7134"	" 2.8787"	" 0.9878"
"Tery_1442"	19	46	42	24	53	31	38	"     5.21"	"     7.08"	"     7.70"	"     7.91"	"     9.63"	"     5.55"	"    10.71"	" 2.3843"	" 2.8250"	" 2.9459"	" 2.9850"	" 3.2685"	" 2.4760"	" 3.4225"
"Tery_1446"	7	4	1	1	14	3	1	"     1.92"	"     0.62"	"     0.18"	"     0.33"	"     2.54"	"     0.54"	"     0.28"	" 0.9484"	"-0.6773"	"-2.3716"	"-1.5587"	" 1.3521"	"-0.8693"	"-1.7765"
"Tery_1450"	476	946	870	427	626	1163	558	"   130.54"	"   145.52"	"   159.41"	"   140.68"	"   113.70"	"   208.34"	"   157.29"	" 7.0285"	" 7.1852"	" 7.3167"	" 7.1364"	" 6.8292"	" 7.7029"	" 7.2974"
"Tery_1451"	51	63	63	50	75	39	38	"    13.99"	"     9.69"	"    11.54"	"    16.47"	"    13.62"	"     6.99"	"    10.71"	" 3.8070"	" 3.2782"	" 3.5303"	" 4.0429"	" 3.7689"	" 2.8066"	" 3.4225"
"Tery_1452"	43	58	44	47	70	57	27	"    11.79"	"     8.92"	"     8.06"	"    15.48"	"    12.71"	"    10.21"	"     7.61"	" 3.5611"	" 3.1590"	" 3.0130"	" 3.9537"	" 3.6695"	" 3.3535"	" 2.9300"
"Tery_1453"	55	106	82	47	56	83	59	"    15.08"	"    16.31"	"    15.03"	"    15.48"	"    10.17"	"    14.87"	"    16.63"	" 3.9159"	" 4.0282"	" 3.9103"	" 3.9537"	" 3.3478"	" 3.8952"	" 4.0567"
"Tery_1454"	102	163	114	67	143	117	70	"    27.97"	"    25.07"	"    20.89"	"    22.07"	"    25.97"	"    20.96"	"    19.73"	" 4.8065"	" 4.6487"	" 4.3853"	" 4.4650"	" 4.6995"	" 4.3902"	" 4.3032"
"Tery_1455"	656	1604	1631	519	1479	695	878	"   179.91"	"   246.74"	"   298.85"	"   170.99"	"   268.63"	"   124.50"	"   247.50"	" 7.4912"	" 7.9469"	" 8.2233"	" 7.4179"	" 8.0695"	" 6.9602"	" 7.9513"
"Tery_1456"	236	409	392	202	362	351	249	"    64.72"	"    62.92"	"    71.83"	"    66.55"	"    65.75"	"    62.88"	"    70.19"	" 6.0164"	" 5.9756"	" 6.1667"	" 6.0566"	" 6.0391"	" 5.9747"	" 6.1334"
"Tery_1457"	1367	2301	1914	1217	2232	1835	1253	"   374.90"	"   353.96"	"   350.71"	"   400.96"	"   405.39"	"   328.72"	"   353.20"	" 8.5504"	" 8.4675"	" 8.4542"	" 8.6474"	" 8.6632"	" 8.3608"	" 8.4644"
"Tery_1458"	897	1559	1138	753	1280	1356	745	"   246.00"	"   239.82"	"   208.52"	"   248.09"	"   232.48"	"   242.92"	"   210.00"	" 7.9426"	" 7.9059"	" 7.7041"	" 7.9548"	" 7.8610"	" 7.9244"	" 7.7143"
"Tery_1459"	51	100	102	49	90	71	55	"    13.99"	"    15.38"	"    18.69"	"    16.14"	"    16.35"	"    12.72"	"    15.50"	" 3.8070"	" 3.9442"	" 4.2249"	" 4.0138"	" 4.0318"	" 3.6700"	" 3.9555"
"Tery_1460"	2327	6139	4314	1783	4078	4407	3237	"   638.18"	"   944.36"	"   790.46"	"   587.44"	"   740.68"	"   789.47"	"   912.46"	" 9.3178"	" 9.8832"	" 9.6266"	" 9.1983"	" 9.5327"	" 9.6248"	" 9.8336"
"Tery_1461"	167	283	189	109	220	170	97	"    45.80"	"    43.53"	"    34.63"	"    35.91"	"    39.96"	"    30.45"	"    27.34"	" 5.5176"	" 5.4444"	" 5.1144"	" 5.1668"	" 5.3208"	" 4.9290"	" 4.7736"
"Tery_1462"	254	510	354	208	308	297	234	"    69.66"	"    78.45"	"    64.86"	"    68.53"	"    55.94"	"    53.20"	"    65.96"	" 6.1225"	" 6.2939"	" 6.0196"	" 6.0989"	" 5.8061"	" 5.7338"	" 6.0438"
"Tery_1463"	93	164	167	115	202	135	89	"    25.51"	"    25.23"	"    30.60"	"    37.89"	"    36.69"	"    24.18"	"    25.09"	" 4.6733"	" 4.6575"	" 4.9359"	" 5.2441"	" 5.1977"	" 4.5966"	" 4.6495"
"Tery_1464"	3	3	5	3	3	7	1	"     0.82"	"     0.46"	"     0.92"	"     0.99"	"     0.54"	"     1.25"	"     0.28"	"-0.2640"	"-1.0847"	"-0.1107"	"-0.0023"	"-0.8497"	" 0.3380"	"-1.7765"
"Tery_1465"	36	52	53	21	45	40	33	"     9.87"	"     8.00"	"     9.71"	"     6.92"	"     8.17"	"     7.17"	"     9.30"	" 3.3049"	" 3.0016"	" 3.2811"	" 2.7926"	" 3.0327"	" 2.8431"	" 3.2191"
"Tery_1466"	82	129	113	59	111	103	71	"    22.49"	"    19.84"	"    20.71"	"    19.44"	"    20.16"	"    18.45"	"    20.01"	" 4.4918"	" 4.3114"	" 4.3726"	" 4.2816"	" 4.3342"	" 4.2064"	" 4.3236"
"Tery_1467"	912	1271	1384	732	1173	1898	1111	"   250.12"	"   195.52"	"   253.59"	"   241.17"	"   213.05"	"   340.01"	"   313.17"	" 7.9665"	" 7.6112"	" 7.9864"	" 7.9140"	" 7.7351"	" 8.4095"	" 8.2909"
"Tery_1468"	88	146	153	62	99	230	92	"    24.13"	"    22.46"	"    28.03"	"    20.43"	"    17.98"	"    41.20"	"    25.93"	" 4.5936"	" 4.4899"	" 4.8096"	" 4.3531"	" 4.1692"	" 5.3650"	" 4.6973"
"Tery_1469"	71	129	93	49	111	89	55	"    19.47"	"    19.84"	"    17.04"	"    16.14"	"    20.16"	"    15.94"	"    15.50"	" 4.2841"	" 4.3114"	" 4.0917"	" 4.0138"	" 4.3342"	" 3.9958"	" 3.9555"
