""	"HFe_d5_rep1"	"HFe_d5_rep2"	"HFe_d5_rep3"	"LFe_d5_rep1"	"LFe_d5_rep2"	"MFe_d5_rep1"	"MFe_d5_rep2"
"Tery_0740"	8.98313128719312	8.86006723869269	8.88581708859805	8.7520211204513	8.68480515400494	8.87307548866325	8.72344267723158
"Tery_0741"	11.0559514054824	11.3591354499797	11.1670714556653	10.910677544021	11.1444463698948	11.1356166399681	11.221643507635
"Tery_0742"	9.5834313479538	9.82217175007457	9.68764638232197	9.70033204075405	9.60146557754226	9.92397213073578	9.53386449217536
"Tery_0744"	6.41006501448997	6.50211877346395	6.46122306493614	6.29089968919567	6.29771892095728	6.37507227166374	6.09611277606161
"Tery_0746"	6.71557566070557	6.57634191096163	6.70370339321394	7.13680456466354	6.85808269574971	6.75751794363232	6.55150163114508
"Tery_0747"	5.10735859642062	5.02006404692864	5.20996875726416	5.24681247449923	5.00066166111527	4.95005120546139	4.91870632288614
"Tery_0748"	5.4273943506948	5.37914049361031	5.56583715098963	5.22950786399324	5.69119743637546	5.39225234252374	5.39582040651492
"Tery_0749"	5.31917043140985	4.98217084475018	5.22895672151742	5.31529533977681	5.27439648965021	5.09402592578316	5.21460855058334
"Tery_0750"	4.14128040499494	4.05374052038793	4.32328322684581	3.99437478645564	4.07795885152014	4.05353150602239	4.37596156245247
"Tery_0751"	4.18876603833826	4.23780236800559	4.4165688378409	4.22924553772142	4.16425480238003	4.05740593127761	4.17553397768284
"Tery_0752"	6.78023670199544	6.57520477178905	6.53390152266387	6.87066700293007	6.55582706076557	6.89982213864578	6.59233146310502
"Tery_R0007"	12.5833127848786	10.5986186635137	11.9187377898787	12.6110403107427	12.0623797787096	11.3081931214368	14.1771305676031
"Tery_0754"	8.09621374803626	8.00618977495143	8.15349574881753	8.03592253125115	8.0155785087419	7.87994953191688	8.05896615871182
"Tery_0755"	7.29248488634513	7.53977452079757	7.5341337257325	7.23636420729744	7.35399741071048	7.28374493092239	7.50353339271697
"Tery_0756"	8.732893719832	8.94741463771665	8.8936210271577	8.74086439833006	8.79274419221644	8.952079914394	8.91844829809155
"Tery_0757"	9.32081104189119	9.11283257171615	9.01955423915041	9.31249081550377	8.78122595989968	9.66586183528479	9.02930724579492
"Tery_0758"	9.09140880304471	8.86463037850145	8.75853592272729	9.11760831119613	8.89306310078531	9.17019235169058	9.03267553587985
"Tery_0759"	4.80864232428122	4.62596793788369	4.81971222148038	4.52621448238141	4.70776096414533	4.58528585768288	4.80628186184591
"Tery_0761"	8.77758261617948	8.73521666059129	8.8438365690642	8.50710898886575	8.73142140692704	8.60427824443278	8.7640779591024
"Tery_0762"	8.1847868071592	8.25855484287976	8.32092103551462	8.00195903571737	8.20709903512098	7.98295132914462	8.40057279855187
