""	"HFe_d5_rep1"	"HFe_d5_rep2"	"HFe_d5_rep3"	"LFe_d5_rep1"	"LFe_d5_rep2"	"MFe_d5_rep1"	"MFe_d5_rep2"
"Tery_1078"	8.88399606276767	9.24609768633468	9.40669368835291	9.06704319876403	9.10799995038966	9.80401034766139	9.32306625666659
"Tery_1079"	9.78549480619508	9.98186432716625	9.80072897345115	10.0212944785481	9.78103440290474	10.2578983462901	9.78619772011072
"Tery_1080"	8.32059455318507	8.48319868976288	8.45439283368433	8.71654793255074	8.20306116402205	8.77379179406254	8.66418462795358
"Tery_1084"	8.95844508179183	9.55639356462902	9.46417754510344	9.35200169810728	8.94775113732841	10.0845961922867	9.47011120161472
"Tery_1090"	8.12064345652413	7.90222647757529	8.03286707898957	8.11766455187523	7.37831705983945	8.38441938198816	7.77943523067698
"Tery_1091"	8.63429152565855	8.95819798154118	8.95541139865024	8.45123148674791	8.33878231599261	9.30056787681495	9.0540770348437
"Tery_1092"	8.6834374065101	8.40129951296361	8.68907914243975	8.05365239707437	8.04859260000747	8.1115199460843	8.55883644363281
"Tery_1093"	9.4094601455413	9.29218807301239	9.25305805505527	8.6587000810988	8.23523591930622	9.17920472786763	9.0785148212579
"Tery_1095"	8.6834374065101	8.51413677129413	8.52498014634332	9.16465530882323	8.4593624746825	9.10158373151814	8.79220927412799
"Tery_1096"	8.03350846346505	8.36162515175075	8.26695168600713	7.95191546448546	8.28985944439272	7.73536345900523	8.2679154925076
"Tery_1097"	6.15664992317478	6.24703631065513	5.98598516289612	6.26087061553178	6.13326256807291	6.43053616521802	6.31804309095114
"Tery_1098"	7.66492046623356	7.63043303025761	7.57942035650626	7.89819306745395	7.67818798824296	7.53775390472271	7.51674109420538
"Tery_1099"	7.26408205885618	7.1047850031589	6.89761039442396	7.84236795737574	7.03443610942105	7.87376079037561	7.01427458859288
"Tery_1100"	6.40151758503975	6.45579627529594	6.32780355822345	6.55395749778631	6.62697974286283	6.14312746591057	6.48033654978555
"Tery_1101"	7.77676565467285	7.68115509917713	7.95689724036834	7.80389826070936	8.05311647678013	7.38882120875889	8.04444520533542
"Tery_1102"	8.28045034688987	7.56707204255556	7.59836723796755	8.46357858208685	7.12430360231222	8.30035546355504	7.70920342696138
"Tery_1103"	6.42365590584419	6.38135054914998	6.27954065461159	6.31925249171154	6.09632545579336	6.70199491134841	6.89098668039845
"Tery_1104"	8.90297259369279	8.43108865775125	8.37287832956092	8.28022758403829	7.64850230077137	8.95656962912435	8.71409714270913
"Tery_1105"	5.15276915891095	5.13608220495007	5.44358326171076	5.16660231456718	5.07920751783904	5.25110126908275	5.23677102316681
"Tery_1106"	6.664075380762	6.26110975910673	6.55899328818349	6.37513200148534	6.49585383110049	6.50033264397686	6.36649011042779
"Tery_1108"	9.73349044690582	9.98186432716625	9.93243071744524	9.82521323044661	9.65925345452994	10.3676310180668	10.212209768447
"Tery_1109"	7.07335360353285	7.14179137684037	7.32212773497682	7.06596157124902	7.19224968011749	6.77049513933359	7.04345587697082
"Tery_1110"	6.62687589128357	6.85930378626206	6.76752272399265	6.19972705470318	6.52312525198039	7.02399298041074	6.84175868179617
"Tery_1112"	6.60788498063423	6.21841999878323	6.70944581690061	6.03263210011021	6.43957599045784	6.06946594211212	6.43596687192125
"Tery_1113"	7.48375910111986	7.61485615486109	7.42506920096783	7.64959945303544	7.37831705983945	7.87376079037561	7.46424405857257
"Tery_1114"	8.84134501594279	8.57674838902487	8.39818097323387	9.14947530035247	8.60480918860116	9.36481765629824	8.67338951171451
"Tery_1116"	5.00430651199561	5.21076911408457	5.33815115255625	5.08226441320749	5.07920751783904	5.4322955384184	5.35685813622465
"Tery_1117"	9.03612175650582	8.56873480509413	8.43357058762401	9.18340800067852	8.76739179171365	8.88321299672413	8.40699587101006
"Tery_1118"	7.9914280185054	7.95663565092992	7.81336709928982	8.34843229652492	8.24316793839848	8.15799963629633	7.71817439809511
"Tery_1121"	9.80174762217374	9.87456741166973	10.2978123621776	10.1315518642949	10.5522708574269	9.34311046844182	10.3446484616693
"Tery_1122"	7.81754577626119	8.28862507140628	7.94219177541108	8.28022758403829	8.48632005176846	7.72976214424393	8.18653651792214
"Tery_1123"	6.2350961276529	6.17426234186318	6.12286314367296	6.23066193158725	6.39574144085393	6.12511154713288	6.29312815473041
