""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_2721"	210.319973108775	205.070444806487	205.01739152574	223.523373785614	-0.00704375817085529	0.231059703236986	-0.0304845807043683	0.97568059048213	0.99225919515757
"Tery_4450"	2045.14460411543	2133.06399381377	2126.21786738296	1835.61531951578	-0.00594408974894116	0.197439071422004	-0.0301059446143582	0.97598255976476	0.99225919515757
"Tery_0015"	81.3295726923367	85.6702321416049	86.5773095979664	69.117307884624	-0.0082532927961894	0.289423005086923	-0.0285163675697123	0.977250313904889	0.992659240016252
"Tery_3733"	4315.38407231492	4408.29022319659	4385.5903466357	4117.16850995207	-0.00772012159513941	0.27064405245168	-0.0285249999961398	0.977243429025871	0.992659240016252
"Tery_R0009"	7184.95265772133	2067.14958478809	2009.38654669959	20066.1048971872	-0.0409087747904264	1.4721964982725	-0.0277875778392555	0.977831573586486	0.992974982911941
"Tery_0445"	482.757169597228	493.068452379253	490.944564005859	460.164795202255	-0.00504896054995643	0.193629992852456	-0.0260753020520106	0.979197276470543	0.992988787406748
"Tery_1913"	293.519600269017	304.320490694845	303.417166824076	267.872360010599	-0.00589715466325776	0.225663293294133	-0.0261325383369785	0.97915162407921	0.992988787406748
"Tery_2555"	74.0184923572771	74.0816058201728	72.9497606840283	75.5584764042545	-0.010240199028725	0.387653166481765	-0.0264158787135994	0.978925629187455	0.992988787406748
"Tery_2757"	46.1192750826457	46.5857261153682	47.1110533535559	44.1651566435579	-0.00942901909612408	0.343741030134086	-0.0274305895122442	0.978116300520612	0.992988787406748
"Tery_3730"	1898.48197991325	1961.22823431158	1954.46319525241	1751.76390250618	-0.00540714697114999	0.204155650496879	-0.0264854142316902	0.978870167276142	0.992988787406748
"Tery_4224"	344.448586244489	349.353865083885	350.930433721641	329.820536189367	0.00566352163640639	0.225033500983097	0.0251674600077959	0.97992139188275	0.993448744062247
"Tery_1240"	184.687796144828	178.94508382469	178.246052986443	200.093123202543	-0.0059231131721638	0.244647555856521	-0.0242108005184304	0.980684463088497	0.9936736612751
"Tery_4155"	258.680418835491	275.401168593876	276.429237389437	215.336441246186	0.00569302671783171	0.233231108474304	0.024409379842479	0.980526066523559	0.9936736612751
"Tery_4154"	98.4430153364485	101.707482808014	102.73521239598	88.7402522755853	-0.00625242634799487	0.27261183487351	-0.0229352711370582	0.981701905490239	0.994155928560441
"Tery_4664"	1490.83253723833	1545.58139185807	1542.17055282762	1359.07665923467	-0.00464434780855458	0.20224438872308	-0.0229640379042297	0.981678958974457	0.994155928560441
"Tery_4509"	4514.88361647278	4054.03883450466	4065.721331484	5649.47182592406	0.00464093924354649	0.208299891331527	0.0222800848040772	0.982224534963543	0.994410943585919
"Tery_3054"	3635.78475792972	3784.35939326722	3774.67300013903	3278.87775927825	-0.00393563707021756	0.180221656039749	-0.0218377588837023	0.982577374127865	0.994493968521918
"Tery_2768"	68.3126441282588	70.1760325911924	70.9333143793183	62.5182502887358	0.0063440946089152	0.29755716534192	0.0213205909581282	0.982989918362406	0.994637360216797
"Tery_0825"	48.0627574722833	45.3959524428075	46.3386238328046	53.3157629609773	-0.00685938481643421	0.34323096726797	-0.0199847492521818	0.984055538470852	0.994672577730926
"Tery_1984"	78.2024214899299	78.9962076712665	77.8667768495564	77.9121022691535	-0.00771576748556655	0.384539276376899	-0.020064965946428	0.983991547640297	0.994672577730926
"Tery_3575"	257.071848199585	255.147602365002	255.638680266294	261.145845934104	0.0049365895440083	0.247837201617818	0.0199186785187353	0.984108244797509	0.994672577730926
