""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_3377"	3356.41372837305	-1.99624820293607	0.291540744449302	-6.84723573271664	7.52905982858399e-12	1.74255906921561e-09
"Tery_3222"	438.940013297593	-1.44546028009426	0.220706831679872	-6.54923216056518	5.78336645870791e-11	1.2680791929988e-08
"Tery_0830"	373.979511172058	-1.81349870736172	0.283084882821047	-6.40620116937905	1.49190090270185e-10	3.10762958032795e-08
"Tery_3033"	2027.24715401106	-1.44673509076272	0.244113321075348	-5.92648973185766	3.0947872720857e-09	6.13946846452811e-07
"Tery_0459"	285.833168152926	-1.6255678300227	0.290236163984025	-5.60084521414835	2.13309147127066e-08	4.03929957696071e-06
"Tery_0409"	1530.94906619473	-1.65690680889398	0.299019703993145	-5.54112918569394	3.00527399977954e-08	5.44346586220938e-06
"Tery_1666"	12365.3129729027	-1.73772810477057	0.325713873743285	-5.33513689423059	9.54725008957254e-08	1.65724349471497e-05
"Tery_4282"	5187.10469189675	1.40403515962646	0.270713231531024	5.1864297570012	2.14363823466554e-07	3.57215875424665e-05
"Tery_3062"	56.8826632376994	1.97424427456244	0.382538582222287	5.16090236726825	2.45762333046794e-07	3.93786876720363e-05
"Tery_3063"	57.8315052857663	2.02278346921915	0.40944743181816	4.94027636279691	7.80119215299136e-07	0.00012036950559023
"Tery_0847"	1362.78180237484	1.2842487130694	0.260385236591168	4.9321103219297	8.1345948503552e-07	0.000121031150523499
"Tery_4138"	23275.6606217579	1.14583121659954	0.233701019361264	4.90297911293346	9.43940246878421e-07	0.000135601898913638
"Tery_3064"	175.695913857044	1.96186998457068	0.402291333806647	4.87673936698228	1.07853789707227e-06	0.000149772962640102
"Tery_3816"	2179.54719749705	-1.62629661396073	0.34577456310172	-4.70334370282266	2.55935035414041e-06	0.000343943663720934
"Tery_1825"	122.20036406448	-1.52438402913168	0.326692864471304	-4.66610751232242	3.06959132402867e-06	0.000399622420496983
"Tery_2560"	105.959485901289	1.24885264389279	0.273662750428938	4.56347326019102	5.03142207449099e-06	0.00063517892007059
"Tery_3817"	2304.04238943907	-1.64060155349673	0.362959017467574	-4.52007382250338	6.18180712487471e-06	0.000757453190653766
"Tery_3034"	468.683905170223	-1.4016248725935	0.311008039536033	-4.50671588645899	6.58386953636402e-06	0.000783668585385501
"Tery_3061"	64.4459432896028	1.81976465193261	0.412221938683365	4.41452645083599	1.01231338654782e-05	0.00117147154676617
"Tery_4355"	737.678134399141	-1.6034805084431	0.366916964633302	-4.37014546341739	1.2416379631776e-05	0.0013980172309724
"Tery_0600"	13771.532671911	-0.904141621268869	0.211045960917219	-4.28409819993433	1.83481865724427e-05	0.0020115406647578
"Tery_0041"	237.099269944091	1.06542932303152	0.251531715408327	4.23576534395253	2.2777454950341e-05	0.00243309941854156
"Tery_1662"	79.0297871094994	-1.6103818031029	0.382562162257946	-4.20946440076078	2.55976768773242e-05	0.00266599804677331
"Tery_3818"	1445.34336259432	-1.26934247809364	0.302127347534583	-4.20134916104655	2.65329004670774e-05	0.00269600154502059
"Tery_0182"	4393.77095427414	-1.16550264653662	0.278643375631485	-4.18277536257683	2.87971900124243e-05	0.00285640699027999
"Tery_2566"	129.67809288851	1.14952188844239	0.275611169953038	4.17081023471676	3.03518539278005e-05	0.00294060054565621
"Tery_0675"	1366.82237598475	1.22403908854389	0.295170489879784	4.14688842723544	3.3702419154527e-05	0.00319100632267635
"Tery_0276"	379.32981914455	1.02611697642115	0.251361692279803	4.08223292544884	4.46050578579445e-05	0.00412943713413771
"Tery_0280"	637.163241935465	0.974938296834419	0.240076210385855	4.06095337504486	4.88727319223985e-05	0.00442616959105896
"Tery_3825"	3455.91941147207	-1.43997418305282	0.35642935630446	-4.03999883169782	5.34514676989458e-05	0.00473784711561294
"Tery_0848"	62.7341094388287	1.43163769038626	0.359543028582111	3.98182575262839	6.83879100880045e-05	0.00593550069638806
"Tery_2492"	698.52049947023	-0.83962885569443	0.214968063236382	-3.90583067574629	9.39022503638482e-05	0.00782393550031583
"Tery_4142"	5329.80802830754	0.947629742267292	0.242330294854703	3.91048813288274	9.21097858740713e-05	0.00782393550031583
