""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_3047"	32.6309075977543	-0.142713330334943	0.473681658584835	-0.30128532052795	0.763196933712421	NA
"Tery_3061"	64.4459432896028	3.71121054378407	0.782126427972201	4.74502639350268	2.08479150202219e-06	NA
"Tery_3062"	56.8826632376994	1.57040040349438	0.533905503090497	2.94134522758084	0.00326790103811282	NA
"Tery_3063"	57.8315052857663	1.99281138242695	0.593481505978166	3.35783232055806	0.000785562512247476	NA
"Tery_3065"	8.15507682736266	-0.054191320441694	0.915308989280361	-0.0592054935288034	0.952788434117153	NA
"Tery_3082"	9.65250387984744	-0.110423147713935	0.754473452464234	-0.14635789682629	0.883638862803535	NA
"Tery_3089"	5.16918256488848	0.513107419910335	0.988885844948874	0.518874268987907	0.603848422280938	NA
"Tery_3097"	42.8332805082187	-0.0499805894960746	0.413665845792505	-0.120823582619738	0.903830770713398	NA
"Tery_3101"	61.9684367657822	-0.425826399551262	0.412231797792998	-1.03297805222947	0.301614169829176	NA
"Tery_3111"	9.40719715868316	-1.84457273260291	0.810094370052412	-2.2769850042083	0.0227871211232699	NA
"Tery_3112"	5.13792521427424	-0.861054116235279	1.01820672234426	-0.845657465561454	0.397743857816473	NA
"Tery_3114"	6.82099225540795	-2.72567100090068	1.2570303507502	-2.16834144002489	0.0301327176665402	NA
"Tery_3116"	15.7013751381441	0.632382706141487	0.641154105764761	0.986319358256606	0.32397642326625	NA
"Tery_3118"	13.6799406775584	0.372849416628329	0.606552578839327	0.614702549516478	0.538751175813072	NA
"Tery_3129"	2.75131037994319	-0.852941494073376	1.44327868474919	-0.590974912250991	0.554537230641407	NA
"Tery_3139"	6.32429588415517	-0.380471312815792	0.865513748721429	-0.439590143285233	0.660233980907127	NA
"Tery_3141"	5.77682711672087	-1.53593754094706	0.945804311552782	-1.62394855065254	0.104386789480428	NA
"Tery_3144"	37.0164860969681	-0.807576422285396	0.425440592904015	-1.89821196132922	0.057668165767266	NA
"Tery_3145"	12.1166673425716	-0.198900794170324	0.676074034580971	-0.294199723693874	0.768605291767007	NA
"Tery_3146"	11.691639666348	0.495605942317723	0.643410605492467	0.770279411136511	0.441134166760626	NA
"Tery_3147"	65.2350941673597	0.322435696013279	0.371387972441679	0.868191002237997	0.38528977914464	NA
"Tery_3149"	37.4000096445681	0.368283662244835	0.409303227821794	0.899781964107016	0.368236294348127	NA
"Tery_3150"	45.5866270111541	-0.0849906423441685	0.390732105665157	-0.217516403469037	0.827805924886587	NA
"Tery_3170"	16.570569782397	0.227658709087126	0.619183374136834	0.367675746146271	0.713115027434788	NA
"Tery_3175"	47.7163054762802	-0.340122351973839	0.379205014019145	-0.896935270894564	0.36975345792493	NA
"Tery_3187"	22.9238174170334	-0.290253067496496	0.513125135884848	-0.565657472608461	0.57162665024593	NA
"Tery_3199"	6.66724968430203	1.46014371182022	0.967130748941668	1.50976867752169	0.131102460095872	NA
"Tery_3201"	24.9577412982502	0.798441894748271	0.536995761795709	1.48686814971926	0.137049637817058	NA
"Tery_3203"	6.45920621778885	0.907179643287847	0.942789144528609	0.96222962319049	0.3359342718283	NA
"Tery_3214"	66.2624838483009	0.694960961964296	0.348110358344542	1.9963811627704	0.0458924496255592	NA
"Tery_3216"	18.2176097043768	0.54389816081613	0.574970846453869	0.945957806679453	0.344170107298782	NA
"Tery_3218"	74.352059880726	0.186942022953401	0.333854969613663	0.559949798470066	0.575513680220098	NA
"Tery_3220"	4.70447121360221	0.0842007687977682	0.952370351753816	0.0884117913191125	0.929549389879165	NA
"Tery_3221"	8.20233723379133	-1.31775997873319	0.839304828896031	-1.57006123802062	0.116400865239235	NA
"Tery_3223"	52.5594572208609	-0.500339267702443	0.386383516634187	-1.29492912135831	0.195344681462283	NA
"Tery_3227"	21.1168416788542	-0.116040588794656	0.485753615372774	-0.238887751160852	0.811192623781935	NA
"Tery_3228"	40.8661618954074	-0.135284724575065	0.398424682340765	-0.33954905549591	0.734196148678716	NA
"Tery_3230"	23.2422221484427	-0.544683825443277	0.511546337141594	-1.0647790549862	0.286975925500892	NA
"Tery_3231"	20.0097801824255	-0.148607878022328	0.531480824426612	-0.279610987249923	0.779775976613201	NA
"Tery_3232"	5.86208261856113	1.6129369921235	1.04017253390935	1.55064370529136	0.120987092207723	NA
"Tery_3257"	10.6974561880494	0.184083235293781	0.750341431945659	0.245332627863089	0.806198890155914	NA
"Tery_3263"	68.5372484079108	0.393298954494196	0.33642620906715	1.16904968725458	0.242383613057992	NA
"Tery_3265"	13.0765478985465	-0.236608674494904	0.616436382372285	-0.383833078742598	0.701102169222131	NA
"Tery_3267"	15.1003787414237	-0.903883552467591	0.599204097270595	-1.50847358451791	0.131433362417741	NA
"Tery_3280"	72.2665086823685	-0.614124683560515	0.337733518320257	-1.81837055029335	0.0690075163623507	NA
"Tery_3292"	62.1939773912741	-0.295273959063988	0.347600688125359	-0.849463102781602	0.395623652977452	NA
"Tery_3310"	11.3794673045668	-0.655598616035324	0.681292202775743	-0.962286979601795	0.335905467583708	NA
"Tery_3324"	19.1674317824366	-0.9285100995132	0.637188752808454	-1.45719787962472	0.145061765748429	NA
"Tery_3326"	27.6249103899979	-0.186485788946539	0.477381711244716	-0.390642926936392	0.696061190784544	NA
"Tery_3327"	59.664936142363	-0.199573299667255	0.33835471373195	-0.589834548087188	0.55530157825069	NA
"Tery_3331"	16.8357359994219	0.751242399273979	0.545470550380081	1.37723732060423	0.168438886819627	NA
"Tery_3332"	40.8620554286036	0.168524289409469	0.409222685806106	0.41181560860318	0.680474579988792	NA
"Tery_3333"	44.7297449603382	0.0158026207733231	0.403407384945957	0.0391728594047433	0.968752572079704	NA
"Tery_3335"	31.5831064498674	-0.0878625936515604	0.416242117755922	-0.21108530324911	0.832820708167172	NA
"Tery_3336"	60.2135406080708	0.175415482349526	0.363362593946187	0.482756027373319	0.62926897642474	NA
"Tery_3337"	41.6168227262471	0.166528513227698	0.440088951728812	0.378397395739021	0.705135402527653	NA
"Tery_3338"	15.4891549361002	0.0203552985968616	0.611700817529742	0.0332765594119414	0.973454046284824	NA
"Tery_3339"	48.4530160617101	-0.281674376366881	0.429018745229471	-0.656554939612768	0.511467130609333	NA
"Tery_3341"	4.21848396787546	0.286418099893735	1.0988912624585	0.260642803959461	0.794367977469111	NA
"Tery_3342"	53.1226228687308	0.546255408531903	0.35730812735639	1.52880767804941	0.126312128398927	NA
"Tery_3358"	67.9759212051729	-0.165451738669499	0.331642956110782	-0.498885128180534	0.61786031155068	NA
"Tery_3359"	24.9482655188291	-0.357344558060428	0.473923942598012	-0.754012460525827	0.450841739658307	NA
"Tery_3360"	37.0559846136264	0.8895456583724	0.532165334883328	1.6715588184026	0.094611351129278	NA
"Tery_3363"	63.1458915644936	0.921007876200383	0.365535399101461	2.51961336293107	0.0117483802700358	NA
"Tery_3379"	3.90824274329109	-1.0953176593149	1.06328161946252	-1.0301294024706	0.302949264543004	NA
